title,price,location,Registration Year,Insurance,Fuel Type,Kms Driven,RTO,Ownership
2021 Tata Nexon XZA Plus (O) AMT Diesel,₹9.97 Lakh,"Malleswaram, Bangalore",Jan 2021,Comprehensive,Diesel,"12,758 Kms",Bangalore,First Owner
2021 Kia Sonet HTX Turbo iMT,₹9.98 Lakh,"Yelahanka, Bangalore",Feb 2021,Comprehensive,Petrol,"9,424 Kms",Bangalore,First Owner
2023 Audi Q5 Technology,₹72 Lakh,"R T Nagar, Bangalore",Dec 2023,Comprehensive,Petrol,"3,000 Kms",Bangalore,First Owner
2020 Hyundai i20 Asta Turbo iMT,₹8.39 Lakh,"Yelahanka, Bangalore",Nov 2020,Comprehensive,Petrol,"13,539 Kms",Mysore,First Owner
2015 Maruti Celerio VXI AT,₹3.65 Lakh,"Btm Layout, Bangalore",Dec 2015,Comprehensive,Petrol,"57,742 Kms",Bangalore,Second Owner
2019 Mercedes-Benz GLC 220d 4MATIC,₹43 Lakh,"R T Nagar, Bangalore",Oct 2019,Comprehensive,Diesel,"50,000 Kms",Bangalore,First Owner
2018 Maruti Alto K10 VXI Optional,₹3.40 Lakh,"Jakkur, Bangalore",Mar 2018,Comprehensive,Petrol,"33,629 Kms",Bangalore,Second Owner
2015 Hyundai Grand i10 1.2 Kappa Asta,₹4.32 Lakh,"Yelahanka, Bangalore",Feb 2015,Comprehensive,Petrol,"39,718 Kms",Bangalore,Third Owner
2021 MG Hector Plus Sharp Hybrid MT,₹15.67 Lakh,"R T Nagar, Bangalore",Mar 2021,Comprehensive,Petrol,"22,497 Kms",Bangalore,First Owner
2017 Tata Tiago 1.2 Revotron XZA,₹5.09 Lakh,"Malleswaram, Bangalore",Oct 2017,Comprehensive,Petrol,"45,947 Kms",Bangalore,First Owner
2015 Maruti Wagon R VXI 1.2,₹3.29 Lakh,"Yelahanka, Bangalore",Jun 2015,Comprehensive,Petrol,"23,364 Kms",Bangalore,Third Owner
2010 Hyundai i20 1.4 Asta AT with AVN,₹4.25 Lakh,"Bazaar, Bangalore",Feb 2010,Expired,Petrol,"67,000 Kms",Bangalore,Second Owner
2019 Volvo S90 D4 Inscription BSIV,₹35 Lakh,"Nagavara, Bangalore",Jan 2019,Expired,Diesel,"55,100 Kms",Bangalore,Second Owner
2018 Audi Q3 30 TFSI Premium FWD,₹24.99 Lakh,"BTM Layout, Bangalore",Jan 2018,Expired,Petrol,"50,143 Kms",Bangalore,First Owner
2024 Force Gurkha 2.6 Diesel,₹18.50 Lakh,"R T Nagar, Bangalore",Jun 2024,Comprehensive,Diesel,"2,000 Kms",Bangalore,First Owner
2020 Hyundai Grand i10 Nios AMT Sportz,₹6.29 Lakh,"Jakkur, Bangalore",Jun 2020,Zero Dep,Petrol,"58,572 Kms",Bangalore,First Owner
2013 Mini Cooper S Carbon Edition,₹17.45 Lakh,"R T Nagar, Bangalore",Jun 2013,Comprehensive,Petrol,"29,000 Kms",Bangalore,Third Owner
2023 Kia Sonet HTX Turbo iMT,₹11.25 Lakh,"Amruthahalli, Bangalore",Mar 2023,Comprehensive,Petrol,"9,495 Kms",Bangalore,First Owner
2023 Citroen C5 Aircross Shine Dual Tone,₹29.50 Lakh,"Pulkeshi Nagar, Bangalore",Jun 2023,Comprehensive,Diesel,"24,000 Kms",Bangalore,First Owner
2022 Skoda Slavia 1.0 TSI Style AT BSVI,₹13.74 Lakh,"Jakkur, Bangalore",Apr 2022,Comprehensive,Petrol,"24,187 Kms",Bangalore,First Owner
2022 Kia Sonet HTX Diesel AT BSVI,₹11.25 Lakh,"Amruthahalli, Bangalore",Feb 2022,Comprehensive,Diesel,"41,000 Kms",Bangalore,Second Owner
2022 Hyundai Venue S Turbo iMT,₹8.97 Lakh,"Amruthahalli, Bangalore",Jun 2022,Comprehensive,Petrol,"38,396 Kms",Udupi,First Owner
2021 Hyundai Venue SX Turbo iMT,₹8.85 Lakh,"Amruthahalli, Bangalore",Dec 2021,Comprehensive,Petrol,"30,275 Kms",Bangalore,First Owner
2014 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹4.15 Lakh,"Yelahanka, Bangalore",Dec 2014,Comprehensive,Petrol,"47,474 Kms",Mangalore,First Owner
2021 Mercedes-Benz E-Class Exclusive E 200,₹61 Lakh,"R T Nagar, Bangalore",Oct 2022,Comprehensive,Petrol,"15,000 Kms",Bangalore,First Owner
2014 Hyundai i20 Asta 1.2,₹5.56 Lakh,"Yelahanka, Bangalore",Sept 2014,Comprehensive,Petrol,"35,643 Kms",Bangalore,First Owner
2021 Hyundai Alcazar Signature (O) AT,₹17.45 Lakh,"Magadi Road, Bangalore",Jan 2022,Comprehensive,Petrol,"38,069 Kms",Bangalore,First Owner
2023 Hyundai Tucson Signature AT,₹32.11 Lakh,"Adugodi, Bangalore",Jun 2023,Comprehensive,Petrol,"7,350 Kms",Bangalore,First Owner
2021 Tata Harrier XTA Plus AT BSVI,₹18.49 Lakh,"Magadi Road, Bangalore",Oct 2021,Comprehensive,Diesel,"48,375 Kms",Udupi,First Owner
2020 Mahindra Bolero B6 Opt BSVI,₹7.99 Lakh,"Bazaar, Bangalore",Dec 2020,Expired,Diesel,"1,25,000 Kms",Bangalore,First Owner
2023 Maruti Alto K10 VXI Plus,₹5.08 Lakh,"Mahadevapura, Bangalore",Apr 2023,Comprehensive,Petrol,"5,846 Kms",Bangalore,First Owner
2021 Mercedes-Benz A-Class Limousine A 200 BSVI,₹35 Lakh,"Indiranagar, Bangalore",Jul 2021,Comprehensive,Petrol,"13,700 Kms",Bangalore,Second Owner
2017 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹4.27 Lakh,"Yelahanka, Bangalore",Jun 2017,Comprehensive,Petrol,"42,324 Kms",Bangalore,Third Owner
2015 Maruti Alto K10 VXI AMT,₹3.55 Lakh,"Yelahanka, Bangalore",Jun 2015,Comprehensive,Petrol,"42,000 Kms",Bangalore,First Owner
2021 Renault KWID 1.0 RXL BSVI,₹4.35 Lakh,"Yelahanka, Bangalore",Dec 2021,Comprehensive,Petrol,"27,125 Kms",Bangalore,First Owner
2021 Tata Nexon XZA Plus AMT S,₹10.69 Lakh,"Amruthahalli, Bangalore",Aug 2021,Comprehensive,Petrol,"14,907 Kms",Bangalore,First Owner
2016 Maruti Celerio VXI,₹3.38 Lakh,"Yelahanka, Bangalore",Feb 2017,Comprehensive,Petrol,"44,051 Kms",Mysore,Third Owner
2022 Mahindra Thar LX 4WD Hard Top AT BSVI,₹14.91 Lakh,"Adugodi, Bangalore",Aug 2022,Comprehensive,Petrol,"29,000 Kms",Bangalore,First Owner
2021 Mercedes-Benz E-Class Exclusive E 220d,₹60 Lakh,"R T Nagar, Bangalore",Dec 2021,Comprehensive,Diesel,"24,000 Kms",KA71,First Owner
2020 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹6.09 Lakh,"Yelahanka, Bangalore",May 2020,Comprehensive,Petrol,"22,152 Kms",Bangalore,First Owner
2018 Maruti Celerio ZXI MT BSIV,₹4.34 Lakh,"Yelahanka, Bangalore",Dec 2018,Zero Dep,Petrol,"45,137 Kms",Bangalore,First Owner
2022 Hyundai Venue SX Opt Turbo DCT BSVI,₹12.95 Lakh,"Yelahanka, Bangalore",Jun 2022,Comprehensive,Petrol,"9,453 Kms",Bangalore,First Owner
2021 Nissan Kicks 1.3 Turbo XV,₹9.95 Lakh,"Amruthahalli, Bangalore",Jun 2021,Comprehensive,Petrol,"26,701 Kms",Bangalore,First Owner
2022 Jeep Compass Model S 4X4 Diesel AT BSVI,₹27.75 Lakh,"Marathahalli Colony, Bangalore",Sept 2022,Comprehensive,Diesel,"24,228 Kms",Bangalore,First Owner
2021 Volkswagen Tiguan 2.0 TSI Elegance BSVI,₹29.95 Lakh,"BTM Layout, Bangalore",Jun 2021,Expired,Petrol,"33,540 Kms",Bangalore,First Owner
2020 Mercedes-Benz C-Class Prime C 220d,₹38.50 Lakh,"Adugodi, Bangalore",Oct 2021,Comprehensive,Diesel,"29,000 Kms",Mangalore,First Owner
2022 Skoda Kushaq 1.5 TSI Monte Carlo DSG BSVI,₹17.97 Lakh,"Adugodi, Bangalore",Dec 2022,Comprehensive,Petrol,"11,000 Kms",Bangalore,First Owner
2021 Land Rover Defender 2.0 110 SE,₹1.11 Crore,"R T Nagar, Bangalore",Oct 2021,Comprehensive,Petrol,"36,000 Kms",Gulbarga,First Owner
2018 Mercedes-Benz GLC 220d 4MATIC Sport,₹34.95 Lakh,"Adugodi, Bangalore",Oct 2019,Comprehensive,Diesel,"56,695 Kms",Bangalore,Second Owner
2022 Renault Kiger RXZ,₹5.75 Lakh,"Jakkur, Bangalore",Jul 2022,Comprehensive,Petrol,"1,08,993 Kms",Udupi,First Owner
2020 Mercedes-Benz C-Class AMG Line C 300d,₹45 Lakh,"R T Nagar, Bangalore",Jan 2021,Comprehensive,Diesel,"18,000 Kms",Bangalore,Second Owner
2016 Mahindra XUV500 W8 2WD,₹9.25 Lakh,"Ramamurthy Nagar, Bangalore",Sept 2016,Comprehensive,Diesel,"89,586 Kms",Bangalore,Second Owner
2020 Kia Seltos GTX Plus DCT,₹14.97 Lakh,"Jp Nagar Iii Phase, Bangalore",Jan 2020,Comprehensive,Petrol,"14,316 Kms",Bangalore,First Owner
2017 Maruti Baleno Alpha Diesel,₹5.93 Lakh,"Jakkur, Bangalore",Jul 2017,Comprehensive,Diesel,"84,605 Kms",Bangalore,First Owner
2017 Honda WR-V i-VTEC VX,₹6.78 Lakh,"Mahadevapura, Bangalore",Jul 2017,Comprehensive,Petrol,"32,115 Kms",Bangalore,First Owner
2023 Maruti Alto K10 LXI,₹4.66 Lakh,"Singasandra, Bangalore",Dec 2023,Comprehensive,Petrol,"2,455 Kms",Bangalore,First Owner
2019 Audi Q3 35 TDI Quattro Technology,₹23.95 Lakh,"BTM Layout, Bangalore",Jan 2019,Expired,Diesel,"88,881 Kms",Bangalore,First Owner
2022 Nissan Magnite XV Red Edition BSVI,₹7 Lakh,"Btm Layout, Bangalore",Feb 2023,Expired,Petrol,"38,465 Kms",Bangalore,First Owner
2023 Hyundai i20 Magna,₹7.40 Lakh,"Btm Layout, Bangalore",Apr 2023,Expired,Petrol,"26,000 Kms",Bangalore,First Owner
2022 Tata Nexon XZA Plus (O) AMT,₹11.50 Lakh,"Yelahanka, Bangalore",Oct 2022,Comprehensive,Petrol,"15,605 Kms",Bangalore,First Owner
2011 Maruti Wagon R VXI 1.2,₹2.71 Lakh,"Marathahalli Colony, Bangalore",Apr 2011,Comprehensive,Petrol,"77,939 Kms",Bangalore,Second Owner
2012 Hyundai i10 Sportz AT,₹3.65 Lakh,"Adugodi, Bangalore",Nov 2012,Expired,Petrol,"57,000 Kms",Bangalore,Second Owner
2017 Honda Jazz 1.2 V AT i VTEC,₹5.92 Lakh,"Jakkur, Bangalore",Jul 2017,Comprehensive,Petrol,"33,053 Kms",Bangalore,First Owner
2011 Maruti Wagon R VXI 1.2,₹2.77 Lakh,"Marathahalli Colony, Bangalore",Jun 2011,Comprehensive,Petrol,"63,122 Kms",Bangalore,Second Owner
2017 Mahindra TUV 300 mHAWK100 T8,₹6.25 Lakh,"Jakkur, Bangalore",2017,Comprehensive,Diesel,"1,20,000 Kms",Bangalore,First Owner
2020 Tata Tiago 1.2 Revotron XZ Plus,₹6.27 Lakh,"Samethanahalli, Bangalore",Dec 2020,Comprehensive,Petrol,"15,389 Kms",Bangalore,First Owner
2018 Skoda Superb Style 1.8 TSI AT,₹17.75 Lakh,"Adugodi, Bangalore",Oct 2018,Comprehensive,Petrol,"48,000 Kms",Bangalore,Second Owner
2014 Hyundai Grand i10 Sportz,₹4.50 Lakh,"City, Bangalore",Nov 2014,Comprehensive,Petrol,"33,000 Kms",Bangalore,First Owner
2020 Kia Sonet GTX Plus Turbo iMT BSVI,₹9.07 Lakh,"Malleswaram, Bangalore",Nov 2020,Expired,Petrol,"50,806 Kms",Bangalore,First Owner
2021 Tata Nexon XZ Plus BSVI,₹8.95 Lakh,"Hsr Layout, Bangalore",Jul 2021,Comprehensive,Petrol,"43,015 Kms",Bangalore,First Owner
2019 Maruti Vitara Brezza ZDi,₹9.35 Lakh,"Malleswaram, Bangalore",Jun 2019,Comprehensive,Diesel,"40,402 Kms",Mandya,First Owner
2015 Maruti Celerio VXI AT,₹4.10 Lakh,"Marathahalli Colony, Bangalore",Feb 2015,Comprehensive,Petrol,"46,523 Kms",Bangalore,First Owner
2024 Mahindra XUV700 AX7 6Str AT,₹25.45 Lakh,"Nagavara, Bangalore",Mar 2024,Comprehensive,Petrol,"8,724 Kms",Bangalore,First Owner
2016 Maruti Alto 800 LXi,₹2.87 Lakh,"Btm Layout, Bangalore",Jun 2016,Comprehensive,Petrol,"33,111 Kms",Bangalore,Second Owner
2021 Toyota Vellfire Executive Lounge,₹1.03 Crore,"R T Nagar, Bangalore",Mar 2021,Comprehensive,Petrol,"25,000 Kms",Bangalore,First Owner
2016 Jaguar XF 2.0 Diesel Prestige,₹31 Lakh,"Adugodi, Bangalore",Sept 2017,Comprehensive,Diesel,"47,000 Kms",Bangalore,First Owner
2019 Hyundai Venue SX Plus Turbo DCT,₹8.95 Lakh,"Malleswaram, Bangalore",Nov 2019,Comprehensive,Petrol,"36,352 Kms",Bangalore,Second Owner
2022 Hyundai Venue S Opt Turbo DCT BSVI,₹10.90 Lakh,"Bazaar, Bangalore",Aug 2022,Comprehensive,Petrol,"30,000 Kms",Bangalore,First Owner
2022 Hyundai Venue S,₹8.95 Lakh,"Malleswaram, Bangalore",Aug 2022,Comprehensive,Petrol,"16,648 Kms",Mysore,First Owner
2009 Toyota Corolla AE,₹2.60 Lakh,"Bazaar, Bangalore",May 2009,Expired,Petrol,"78,000 Kms",Bangalore,First Owner
2022 Mercedes-Benz AMG GLC 43 4MATIC Coupe,₹69 Lakh,"R T Nagar, Bangalore",Apr 2023,Third Party,Petrol,"22,000 Kms",Dharwad,First Owner
2021 Kia Sonet GTX Plus Turbo DCT,₹12.16 Lakh,"Yelahanka, Bangalore",Mar 2021,Comprehensive,Petrol,"22,470 Kms",Bangalore,First Owner
2021 Kia Sonet HTK Plus Diesel BSVI,₹10.75 Lakh,"Jp Nagar Iii Phase, Bangalore",Oct 2021,Comprehensive,Diesel,"54,000 Kms",Bangalore,First Owner
2022 Tata Nexon XZA Plus Dark Edition Diesel,₹11.90 Lakh,"Mahadevapura, Bangalore",Jan 2023,Expired,Diesel,"22,658 Kms",Bangalore,First Owner
2019 Hyundai i20 Sportz Plus BSIV,₹7.25 Lakh,"Nagavara, Bangalore",Sept 2019,Expired,Petrol,"30,687 Kms",Bangalore,Second Owner
2024 Force Gurkha 2.6 Diesel,₹18.48 Lakh,"Adugodi, Bangalore",Jul 2024,Comprehensive,Diesel,"2,100 Kms",Bangalore,First Owner
2022 Toyota Urban cruiser Premium AT,₹10.42 Lakh,"Btm Layout, Bangalore",Jun 2022,Comprehensive,Petrol,"21,853 Kms",Bangalore,First Owner
2019 Maruti Alto K10 VXI Optional,₹3.90 Lakh,"Marathahalli Colony, Bangalore",Oct 2019,Comprehensive,Petrol,"49,563 Kms",Kolar,First Owner
2022 Maruti Brezza Zxi BSVI,₹10.50 Lakh,"Marathahalli Colony, Bangalore",Aug 2022,Comprehensive,Petrol,"26,539 Kms",Mysore,First Owner
2019 Renault KWID 1.0 AMT RXT,₹4.12 Lakh,"Yelahanka, Bangalore",Mar 2019,Comprehensive,Petrol,"12,959 Kms",Bangalore,First Owner
2020 BMW M2 Competition,₹80.75 Lakh,"R T Nagar, Bangalore",Aug 2020,Comprehensive,Petrol,"9,000 Kms",Bangalore,First Owner
2023 Mercedes-Benz C-Class C 200,₹56.50 Lakh,"R T Nagar, Bangalore",Dec 2023,Comprehensive,Petrol,"3,000 Kms",Bangalore,First Owner
2016 Renault KWID RXT,₹2.89 Lakh,"Malleswaram, Bangalore",May 2016,Comprehensive,Petrol,"72,644 Kms",puttur,Second Owner
2011 Ford Figo Petrol ZXI,₹2.18 Lakh,"Btm Layout, Bangalore",Mar 2011,Comprehensive,Petrol,"1,07,077 Kms",Bangalore,Second Owner
2015 Renault KWID RXT,₹3.09 Lakh,"Jakkur, Bangalore",Nov 2015,Expired,Petrol,"35,945 Kms",Bangalore,First Owner
2018 Mercedes-Benz E-Class Exclusive E 220 d BSIV,₹43.46 Lakh,"Paltra, Gurgaon",Jun 2018,Comprehensive,Diesel,"35,500 Kms",Bangalore,First Owner
2016 Maruti Alto 800 VXI,₹3.26 Lakh,"Yelahanka, Bangalore",Nov 2016,Comprehensive,Petrol,"13,921 Kms",Bangalore,First Owner
2017 Mercedes-Benz GLA Aero Edition,₹23 Lakh,"Indiranagar, Bangalore",2017,Expired,Petrol,"40,000 Kms",,First Owner
2021 Toyota Camry Hybrid 2.5,₹37.99 Lakh,"BTM Layout, Bangalore",Mar 2021,Expired,Petrol,"21,400 Kms",Mangalore,First Owner
2022 Renault Kiger RXZ Turbo CVT,₹8.85 Lakh,"Btm Layout, Bangalore",Mar 2022,Comprehensive,Petrol,"36,156 Kms",Bangalore,First Owner
2014 Mercedes-Benz B Class B180 CDI,₹10.75 Lakh,"BTM Layout, Bangalore",Jun 2014,Expired,Diesel,"52,531 Kms",Bangalore,Third Owner
2015 Renault Lodgy 85PS RxL,₹4.90 Lakh,"Malleswaram, Bangalore",Feb 2016,Expired,Diesel,"90,000 Kms",Bangalore,First Owner
2022 Renault Kiger RXZ Turbo CVT,₹8.47 Lakh,"Btm Layout, Bangalore",Apr 2022,Comprehensive,Petrol,"20,922 Kms",Bangalore,First Owner
2020 Audi Q8 55 TFSI Quattro BSVI,₹85 Lakh,"R T Nagar, Bangalore",Apr 2021,Comprehensive,Petrol,"24,000 Kms",Mysore,First Owner
2020 Kia Seltos GTX Plus DCT,₹13.66 Lakh,"Btm Layout, Bangalore",Dec 2020,Expired,Petrol,"34,148 Kms",Bangalore,First Owner
2018 Land Rover Range Rover Evoque Petrol HSE Dynamic,₹44.75 Lakh,"Btm Layout, Bangalore",Jun 2018,Expired,Petrol,"33,974 Kms",Bangalore,First Owner
2023 Tata Nexon XZA Plus LUXS Dark Edition Diesel AMT,₹11.14 Lakh,"Kengiri Satellite Town, Bangalore",Feb 2023,Comprehensive,Diesel,"25,663 Kms",Bangalore,Second Owner
2016 BMW X3 xDrive 20d xLine,₹24.45 Lakh,"Indiranagar, Bangalore",May 2016,Expired,Diesel,"92,000 Kms",Bangalore,Second Owner
2016 Mahindra XUV500 W8 4WD,₹9 Lakh,"Btm Layout, Bangalore",2016,Expired,Diesel,"1,60,000 Kms",Kurnool,First Owner
2022 Renault Kiger RXZ Turbo CVT,₹9.02 Lakh,"Btm Layout, Bangalore",Nov 2022,Comprehensive,Petrol,"33,128 Kms",Bangalore,First Owner
2014 Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,₹11.29 Lakh,"Yelahanka, Bangalore",Feb 2014,Expired,Diesel,"1,95,000 Kms",Bangalore,First Owner
2014 Hyundai Grand i10 1.2 Kappa Asta,₹4.27 Lakh,"Yelahanka, Bangalore",Jan 2015,Comprehensive,Petrol,"60,812 Kms",Bangalore,First Owner
2021 Renault Kiger RXZ Turbo CVT,₹8.55 Lakh,"Btm Layout, Bangalore",Aug 2021,Comprehensive,Petrol,"26,164 Kms",Bangalore,First Owner
2012 Audi A4 2.0 TDI,₹11.99 Lakh,"Yelahanka, Bangalore",Jun 2012,Expired,Diesel,"66,486 Kms",Bangalore,Second Owner
2012 Maruti Ritz VXI AT,₹3.15 Lakh,"Malleswaram, Bangalore",Mar 2013,Comprehensive,Petrol,"68,619 Kms",Bangalore,Third Owner
2023 Renault Kiger RXZ Turbo CVT,₹9.75 Lakh,"Btm Layout, Bangalore",Mar 2023,Comprehensive,Petrol,"19,496 Kms",Bangalore,First Owner
2022 Hyundai Venue SX BSVI,₹10.99 Lakh,"Bellandur, Bangalore",Jun 2022,Third Party,Petrol,"14,112 Kms",Bangalore,First Owner
2021 Hyundai Tucson GLS AT,₹22.90 Lakh,"Indiranagar, Bangalore",May 2021,Comprehensive,Petrol,"27,000 Kms",Bangalore,First Owner
2023 Tata Harrier XTA Plus AT,₹20.98 Lakh,"Indiranagar, Bangalore",Jan 2023,Third Party,Diesel,"6,050 Kms",Bangalore,First Owner
2022 Hyundai Alcazar Signature (O) Diesel AT BSVI,₹18.50 Lakh,Chennai,2022,Expired,Diesel,"20,000 Kms",Chennai,First Owner
2013 Mercedes-Benz A Class A180 CDI,₹9.90 Lakh,"Peelamedu, Coimbatore",Sept 2013,Comprehensive,Diesel,"86,251 Kms",Chennai,Second Owner
2014 Volvo XC 90 D5 AT AWD,₹16.50 Lakh,"Ashoknagar, Chennai",Sept 2014,Comprehensive,Diesel,"95,000 Kms",Chennai,First Owner
2019 Hyundai i20 Sportz 1.2,₹5.93 Lakh,"Vadapalani, Chennai",Oct 2019,Comprehensive,Petrol,"36,662 Kms",Chennai,First Owner
2014 Hyundai i20 1.2 Asta Dual Tone,₹4.02 Lakh,"Airport, Chennai",Dec 2014,Comprehensive,Petrol,"93,490 Kms",Chennai,Third Owner
2018 Honda City VX MT,₹8.68 Lakh,"Vadapalani, Chennai",Dec 2018,Comprehensive,Petrol,"28,036 Kms",Chennai,First Owner
2021 Maruti Swift AMT VXI,₹5.30 Lakh,Chennai,2021,Expired,Petrol,"80,000 Kms",,First Owner
2021 Hyundai Creta S BSVI,₹11.90 Lakh,"Medavakkam, Chennai",Feb 2021,Comprehensive,Petrol,"26,000 Kms",Chennai,First Owner
2015 Ford Figo Diesel EXI,₹3.40 Lakh,"Anna Nagar, Chennai",May 2015,Comprehensive,Diesel,"50,000 Kms",Chennai,First Owner
2018 Maruti Ertiga SHVS ZDI,₹11.50 Lakh,"Thygaraya Nagar, Chennai",Jan 2019,Comprehensive,Diesel,"24,000 Kms",Chennai,First Owner
2023 Kia Seltos HTK Plus Turbo iMT,₹12.50 Lakh,Chennai,2023,Expired,Petrol,"20,000 Kms",Chennai,First Owner
2016 Hyundai Grand i10 Magna,₹3.72 Lakh,"Ganapathipuram, Chennai",Dec 2016,Expired,Petrol,"45,171 Kms",Chennai,Second Owner
2021 Volkswagen Taigun 1.0 TSI Topline AT BSVI,₹12.55 Lakh,"Ganapathipuram, Chennai",Nov 2021,Zero Dep,Petrol,"29,364 Kms",Chennai,First Owner
2017 Honda City i VTEC CVT SV,₹8 Lakh,"Kottivakkam, Chennai",Mar 2017,Comprehensive,Petrol,"45,001 Kms",Chennai,First Owner
2020 Maruti Dzire VXI,₹5.98 Lakh,"Vadapalani, Chennai",Oct 2020,Comprehensive,Petrol,"34,752 Kms",Chennai,First Owner
2019 Tata Nexon XZA Plus DualTone Roof AMT,₹7.56 Lakh,"Airport, Chennai",Apr 2019,Expired,Petrol,"49,110 Kms",Chennai,First Owner
2021 Maruti Alto 800 VXI BSVI,₹3.70 Lakh,Chennai,2021,Expired,Petrol,"20,000 Kms",,Second Owner
2023 Hyundai Grand i10 1.2 Kappa Magna BSIV,₹6.19 Lakh,"Vadapalani, Chennai",Mar 2023,Comprehensive,Petrol,"25,154 Kms",Gudalur,First Owner
2015 Audi Q3 35 TDI Quattro Premium,₹15 Lakh,"Ashoknagar, Chennai",Jul 2015,Comprehensive,Diesel,"95,000 Kms",Chennai,Second Owner
2017 Mahindra KUV 100 NXT G80 K8 5Str BSIV,₹3.50 Lakh,Chennai,2017,Expired,Petrol,"1,00,000 Kms",Salem,Second Owner
2022 Mahindra XUV300 W6 Diesel,₹10.49 Lakh,"Vadapalani, Chennai",Nov 2022,Comprehensive,Diesel,"12,464 Kms",Chennai,First Owner
2021 Mahindra Thar LX 4WD Convert Top Diesel BSVI,₹12.11 Lakh,"Airport, Chennai",Oct 2021,Comprehensive,Diesel,"15,813 Kms",Coimbatore,Second Owner
2011 Hyundai i10 Era,₹2.40 Lakh,"Anna Nagar, Chennai",Aug 2011,Expired,Petrol,"1,08,537 Kms",Chennai,Second Owner
2017 Ford Aspire 1.5 TDCi Titanium,₹4.20 Lakh,Chennai,2017,Expired,Diesel,"80,000 Kms",Poonamallee,First Owner
2014 Nissan Micra XV,₹3.45 Lakh,"Vadapalani, Chennai",Mar 2014,Comprehensive,Petrol,"35,674 Kms",Chennai,Third Owner
2015 Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,₹3.80 Lakh,Chennai,2015,Expired,Diesel,"80,000 Kms",Chennai,Second Owner
2019 Honda City V MT AVN,₹8.20 Lakh,"Meenambakkam, Chennai",Apr 2019,Comprehensive,Petrol,"72,465 Kms",Chennai,First Owner
2019 Honda City i-VTEC V,₹6.99 Lakh,"Ganapathipuram, Chennai",Jun 2019,Comprehensive,Petrol,"68,449 Kms",Poonamallee,First Owner
2014 Mercedes-Benz E-Class E250 CDI,₹22.50 Lakh,"Kottivakkam, Chennai",Jan 2016,Comprehensive,Diesel,"70,000 Kms",Chennai,First Owner
2018 Honda WR-V i-DTEC VX,₹6.80 Lakh,"Anna Nagar, Chennai",Dec 2018,Expired,Diesel,"1,13,579 Kms",red hills,First Owner
2022 Maruti Swift VXI BSVI,₹6.99 Lakh,"Koyambedu, Chennai",Aug 2022,Comprehensive,Petrol,"24,000 Kms",Chennai,First Owner
2013 Mahindra Ssangyong Rexton RX7,₹5 Lakh,"Ashoknagar, Chennai",Aug 2013,Comprehensive,Diesel,"1,30,000 Kms",Chennai,Second Owner
2019 BMW 5 Series 520d Luxury Line,₹41.90 Lakh,"Peelamedu, Coimbatore",Jan 2020,Comprehensive,Diesel,"64,873 Kms",Coimbatore,First Owner
2014 Hyundai Grand i10 Magna,₹3.75 Lakh,Chennai,2014,Expired,Petrol,"90,000 Kms",Poonamallee,Second Owner
2018 Tata Nexon XZ Plus (O) Diesel,₹6.57 Lakh,"Airport, Chennai",Jan 2019,Comprehensive,Diesel,"86,982 Kms",Chennai,First Owner
2021 Audi A4 Technology,₹31.90 Lakh,"Paltra, Gurgaon",Oct 2021,Expired,Petrol,"9,300 Kms",Gurgaon,First Owner
2022 Maruti Ignis Sigma BSVI,₹5 Lakh,"Ganapathipuram, Chennai",Dec 2022,Comprehensive,Petrol,"33,821 Kms",Kanchipuram,First Owner
2023 Nissan Magnite Turbo XV,₹8.95 Lakh,"Vadapalani, Chennai",Jul 2023,Comprehensive,Petrol,"16,082 Kms",Chennai,First Owner
2021 Renault Kiger RXZ,₹6.80 Lakh,"Anna Nagar, Chennai",Sept 2021,Comprehensive,Petrol,"34,457 Kms",Chennai,First Owner
2018 Honda City VX MT,₹8.25 Lakh,"Kovilambakkam, Chennai",Aug 2018,Comprehensive,Petrol,"54,000 Kms",Chennai,First Owner
2021 Renault Triber RXZ BSVI,₹6.50 Lakh,"Anna Nagar, Chennai",Sept 2021,Comprehensive,Petrol,"35,000 Kms",Chennai,First Owner
2023 Toyota Fortuner 4X4 Diesel AT,₹46 Lakh,"Thygaraya Nagar, Chennai",Jun 2023,Comprehensive,Diesel,"15,000 Kms",Chennai,First Owner
2021 Tata Harrier XZ Plus BSVI,₹16.20 Lakh,"Anna Nagar, Chennai",Oct 2021,Comprehensive,Diesel,"11,000 Kms",Chennai,First Owner
2019 Hyundai Grand i10 1.2 Kappa Sportz Option AT,₹4.86 Lakh,"Thiruverkadu, Chennai",May 2019,Expired,Petrol,"74,366 Kms",hosur,First Owner
2021 Hyundai Aura S,₹6.50 Lakh,Chennai,2021,Expired,Petrol,"50,000 Kms",Chennai,First Owner
2023 Mercedes-Benz GLA 220d 4M BSVI,₹61 Lakh,"Thygaraya Nagar, Chennai",Nov 2023,Comprehensive,Diesel,"9,000 Kms",Chennai,First Owner
2014 Hyundai Xcent 1.2 Kappa S Option,₹3.60 Lakh,"Ganapathipuram, Chennai",2014,Expired,Petrol,"70,000 Kms",Chennai,First Owner
