title,price,location,Registration Year,Insurance,Fuel Type,Kms Driven,RTO,Ownership
2018 Skoda Kodiaq 2.0 TDI Style,₹22 Lakh,"Kottivakkam, Chennai",Apr 2018,Comprehensive,Diesel,"1,18,000 Kms",Chennai,First Owner
2014 Maruti Ciaz VDi Plus,₹5.50 Lakh,Chennai,2014,Expired,Diesel,"80,000 Kms",Chennai,Second Owner
2021 Toyota Fortuner Legender 4x4 AT BSVI,₹45 Lakh,Chennai,2021,Expired,Diesel,"20,000 Kms",Chengalpattu,Second Owner
2022 Tata Tigor 1.2 Revotron XZ,₹6.76 Lakh,"Airport, Chennai",Jan 2023,Comprehensive,Petrol,"21,252 Kms",Salem,First Owner
2019 Hyundai Xcent 1.2 VTVT S,₹4.41 Lakh,"Thiruverkadu, Chennai",Mar 2019,Comprehensive,Petrol,"94,881 Kms",Chennai,First Owner
2013 Nissan Micra Active XL Petrol,₹2.98 Lakh,"Vadapalani, Chennai",Jun 2013,Comprehensive,Petrol,"96,329 Kms",Chennai,First Owner
2019 Maruti Celerio VXI MT BSIV,₹4.29 Lakh,"Koyambedu, Chennai",Mar 2019,Comprehensive,Petrol,"58,000 Kms",Chennai,First Owner
2021 Honda City 1.5 V MT Exclusive,₹10.49 Lakh,"Airport, Chennai",Nov 2021,Comprehensive,Petrol,"23,089 Kms",Chennai,First Owner
2019 Kia Seltos HTX Plus AT D,₹11.50 Lakh,Chennai,2019,Expired,Diesel,"1,20,000 Kms",Chennai,First Owner
2017 Mahindra XUV500 W10 1.99 mHawk,₹10.50 Lakh,Chennai,2017,Expired,Diesel,"70,000 Kms",Chennai,First Owner
2023 Volkswagen Virtus GT Plus,₹16.90 Lakh,"Medavakkam, Chennai",Jul 2023,Comprehensive,Petrol,"9,000 Kms",Chennai,First Owner
2023 MG Astor Sharp CVT BSVI,₹14.75 Lakh,"Thygaraya Nagar, Chennai",Aug 2023,Comprehensive,Petrol,"15,000 Kms",Chennai,First Owner
2020 Hyundai Grand i10 Nios Sportz,₹5.52 Lakh,"Thiruverkadu, Chennai",Aug 2020,Expired,Petrol,"31,515 Kms",Srirangam,First Owner
2014 Honda Amaze S Petrol,₹3.25 Lakh,"Meenambakkam, Chennai",Nov 2014,Comprehensive,Petrol,"89,953 Kms",Chennai,First Owner
2022 Maruti Swift AMT ZXI Plus,₹7.47 Lakh,"Airport, Chennai",Apr 2022,Comprehensive,Petrol,"30,775 Kms",Chennai,First Owner
2019 Maruti Vitara Brezza ZDi AMT,₹8 Lakh,Chennai,2019,Expired,Diesel,"60,000 Kms",Chennai,First Owner
2015 Honda Brio S MT,₹3.60 Lakh,"Chromepet, Chennai",Apr 2015,Comprehensive,Petrol,"63,000 Kms",Chennai,First Owner
2017 Maruti Baleno 1.2 Zeta,₹5.60 Lakh,"Koyambedu, Chennai",Oct 2017,Expired,Petrol,"75,000 Kms",Chennai,First Owner
2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹5.21 Lakh,"Vadapalani, Chennai",Dec 2018,Expired,Petrol,"14,885 Kms",red hills,First Owner
2022 Maruti Dzire VXI,₹6.96 Lakh,"Vadapalani, Chennai",Mar 2022,Comprehensive,Petrol,"19,288 Kms",Poonamallee,First Owner
2019 Tata Nexon XZA Plus (O) AMT Diesel,₹7.12 Lakh,"Vadapalani, Chennai",Apr 2019,Comprehensive,Diesel,"55,835 Kms",Sivakasi,First Owner
2016 Hyundai Creta 1.6 VTVT SX Plus,₹6.50 Lakh,Chennai,2016,Expired,Petrol,"50,000 Kms",Chennai,First Owner
2019 Tata Harrier XM,₹9.89 Lakh,"Vadapalani, Chennai",Jun 2019,Comprehensive,Diesel,"39,052 Kms",Chennai,First Owner
2017 Mahindra KUV 100 NXT G80 K8 6Str,₹4.39 Lakh,"Airport, Chennai",Jan 2018,Comprehensive,Petrol,"38,026 Kms",Cuddalore,Second Owner
2023 Renault Triber RXZ Dual Tone,₹9.48 Lakh,"Vadapalani, Chennai",Jun 2023,Comprehensive,Petrol,"8,535 Kms",Chennai,First Owner
2021 Tata Harrier XZA AT,₹15.44 Lakh,"Vadapalani, Chennai",Jan 2021,Comprehensive,Diesel,"71,981 Kms",Chennai,First Owner
2017 Honda City ZX CVT,₹8.25 Lakh,"Thygaraya Nagar, Chennai",Jul 2017,Comprehensive,Petrol,"41,000 Kms",Chennai,First Owner
2019 Tata Tiago XZA Plus Dual Tone Roof AMT BSVI,₹5.60 Lakh,"Airport, Chennai",Jan 2020,Comprehensive,Petrol,"30,376 Kms",Poonamallee,First Owner
2022 Renault Triber RXT,₹6.37 Lakh,"Vadapalani, Chennai",Mar 2022,Third Party,Petrol,"47,356 Kms",Poonamallee,First Owner
2018 Maruti Swift Dzire LXI 1.2 BS IV,₹5.30 Lakh,"Chromepet, Chennai",Nov 2018,Comprehensive,Petrol,"39,000 Kms",Chennai,First Owner
2022 Hyundai Grand i10 Nios Sportz Turbo,₹7.28 Lakh,"Airport, Chennai",Sept 2022,Expired,Petrol,"14,382 Kms",Chennai,First Owner
2016 Land Rover Range Rover Sport 3.0 D SE,₹83 Lakh,"Kottivakkam, Chennai",Feb 2017,Comprehensive,Diesel,"45,000 Kms",Coimbatore,First Owner
2017 Honda City i-VTEC CVT V,₹6.49 Lakh,"Vadapalani, Chennai",Jul 2017,Comprehensive,Petrol,"61,403 Kms",Chennai,Second Owner
2023 Nissan Magnite XV Premium,₹7.46 Lakh,"Ganapathipuram, Chennai",May 2023,Expired,Petrol,"10,433 Kms",Coimbatore,First Owner
2012 Hyundai i20 1.4 CRDi Magna,₹3.65 Lakh,"Chromepet, Chennai",May 2012,Comprehensive,Diesel,"76,259 Kms",Chennai,First Owner
2019 Hyundai Verna VTVT 1.6 AT SX Option,₹9.50 Lakh,"Thygaraya Nagar, Chennai",Sept 2019,Comprehensive,Petrol,"19,000 Kms",Chennai,First Owner
2009 Mercedes-Benz E-Class E350 CDI Avantgarde,₹7 Lakh,Chennai,2009,Expired,Diesel,"1,20,000 Kms",Chennai,Fifth Owner
2020 Maruti Swift VXI,₹6.06 Lakh,"Vadapalani, Chennai",Sept 2020,Comprehensive,Petrol,"39,226 Kms",Chennai,First Owner
2020 Hyundai Creta SX Diesel,₹11.50 Lakh,"Vadapalani, Chennai",Nov 2020,Comprehensive,Diesel,"39,631 Kms",Kanchipuram,First Owner
2015 Maruti Alto 800 LXi,₹3.04 Lakh,"Vadapalani, Chennai",Jan 2016,Comprehensive,Petrol,"35,560 Kms",Erode,First Owner
2012 Maruti Ritz LDi,₹3.30 Lakh,"Anna Nagar, Chennai",Aug 2012,Comprehensive,Diesel,"1,13,666 Kms",Tiruvallur,First Owner
2010 Mitsubishi Outlander 2.4,₹3.75 Lakh,Chennai,2010,Expired,Petrol,"1,50,000 Kms",Chennai,Second Owner
2014 Ford Ecosport 1.5 Ti VCT MT Titanium,₹4.25 Lakh,"Meenambakkam, Chennai",Dec 2014,Comprehensive,Petrol,"81,288 Kms",Chennai,First Owner
2016 Ford Endeavour Titanium Plus 4X4,₹18.50 Lakh,"Ashoknagar, Chennai",Nov 2016,Comprehensive,Diesel,"2,20,000 Kms",Chennai,First Owner
2019 Ford Ecosport 1.5 Ti VCT MT Titanium,₹7.19 Lakh,"Vadapalani, Chennai",Aug 2019,Comprehensive,Petrol,"53,081 Kms",Tirunelveli,First Owner
2018 Maruti Baleno Zeta Diesel,₹6.19 Lakh,"Vadapalani, Chennai",Mar 2018,Comprehensive,Diesel,"25,236 Kms",Chennai,Second Owner
2021 Hyundai i20 Sportz IVT BSVI,₹8.25 Lakh,"Kovilambakkam, Chennai",Sept 2021,Comprehensive,Petrol,"29,000 Kms",Chennai,First Owner
2014 Volkswagen Vento Diesel Highline,₹4.99 Lakh,"Vadapalani, Chennai",Jul 2014,Comprehensive,Diesel,"88,130 Kms",Chennai,First Owner
2022 Tata Altroz XZ BSVI,₹7.95 Lakh,"MEENAMBAKKAM, Chennai",May 2022,Comprehensive,Petrol,"21,862 Kms",Chennai,First Owner
2015 Maruti Swift Dzire VXI,₹4.71 Lakh,"Vadapalani, Chennai",Oct 2015,Comprehensive,Petrol,"38,168 Kms",Chennai,First Owner
2012 Hyundai i10 Asta 1.2,₹3.50 Lakh,"Anna Nagar, Chennai",May 2012,Comprehensive,Petrol,"69,732 Kms",Chennai,Second Owner
2020 Hyundai Venue SX Plus Turbo DCT,₹9.11 Lakh,"Vadapalani, Chennai",Apr 2020,Comprehensive,Petrol,"41,285 Kms",Chennai,First Owner
2022 Hyundai Grand i10 Nios Sportz,₹6 Lakh,Chennai,2022,Expired,Petrol,"20,000 Kms",Chennai,First Owner
2014 Fiat Linea T-Jet,₹3.95 Lakh,Chennai,2014,Expired,Petrol,"80,000 Kms",Chennai,First Owner
2017 Maruti Swift VXI,₹4.51 Lakh,"Ganapathipuram, Chennai",Nov 2017,Comprehensive,Petrol,"95,993 Kms",Chennai,Second Owner
